Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages",Echelon,Death rate in ongoing conflicts in a country (best estimate) - Conflict type: all,terr_contr_vdem_owid,terr_contr_vdem_high_owid,terr_contr_vdem_low_owid
Albania,ALB,2005,5.078094,Medium,0.0,98.0,99.106,96.894
Albania,ALB,2006,3.1630955,Low,0.0,98.0,99.106,96.894
Albania,ALB,2007,3.5281267,Low,0.0,98.0,99.106,96.894
Albania,ALB,2008,3.1507385,Low,0.0,98.0,99.106,96.894
Albania,ALB,2009,2.900488,Low,0.0,98.0,99.106,96.894
Albania,ALB,2010,4.0845757,Low,0.0,98.0,99.106,96.894
Albania,ALB,2011,4.8954477,Low,0.0,98.0,99.106,96.894
Albania,ALB,2012,5.4284067,Medium,0.0,98.0,99.106,96.894
Albania,ALB,2013,4.2950954,Low,0.0,97.0,98.941,95.059
Albania,ALB,2014,4.64616,Low,0.0,97.0,98.941,95.059
Albania,ALB,2015,2.22031,Low,0.0,97.0,98.941,95.059
Albania,ALB,2016,2.7420435,Low,0.0,97.0,98.941,95.059
Albania,ALB,2017,2.01434,Low,0.0,95.143,98.658,91.627
Albania,ALB,2018,2.294046,Low,0.0,95.857,99.21,92.505
Albania,ALB,2019,2.2617478,Low,0.0,96.667,99.564,93.77
Albania,ALB,2020,2.127772,Low,0.0,95.667,99.432,91.902
Albania,ALB,2021,2.3119686,Low,0.0,93.2,98.234,88.166
Algeria,DZA,1990,,,0.0,74.0,90.988,56.612
Algeria,DZA,1991,,,0.13009919,74.0,90.988,56.612
Algeria,DZA,1992,,,0.96080863,74.0,90.988,56.612
Algeria,DZA,1993,,,3.019632,74.0,90.988,56.612
Algeria,DZA,1994,,,6.858287,74.0,90.988,56.612
Algeria,DZA,1995,,,10.657341,74.0,90.988,56.612
Algeria,DZA,1996,,,3.7399118,74.0,90.988,56.612
Algeria,DZA,1997,,,6.812315,74.0,90.988,56.612
Algeria,DZA,1998,,,10.9642,74.0,90.988,56.612
Algeria,DZA,1999,,,3.8093874,74.0,90.988,56.612
Algeria,DZA,2000,,,3.8700716,83.214,91.26,74.026
Algeria,DZA,2001,,,2.1601882,83.214,91.26,74.026
Algeria,DZA,2002,,,3.3170276,83.214,91.26,74.026
Algeria,DZA,2003,,,2.1961648,83.214,91.26,74.026
Algeria,DZA,2004,,,1.4887643,83.214,91.26,74.026
Algeria,DZA,2005,,,0.65843993,83.214,91.26,74.026
Algeria,DZA,2006,0.93315166,Undefined,0.87333417,88.607,94.769,80.517
Algeria,DZA,2007,0.79743814,Undefined,1.5625075,88.607,94.769,80.517
Algeria,DZA,2008,0.94881076,Undefined,0.9979869,88.607,94.769,80.517
Algeria,DZA,2009,0.78702044,Undefined,1.5456284,88.607,94.769,80.517
Algeria,DZA,2010,0.7083823,Undefined,0.6581819,88.607,94.769,80.517
Algeria,DZA,2011,0.76620924,Undefined,0.71421635,88.607,94.769,80.517
Algeria,DZA,2012,1.4036288,Very Low,0.692421,91.0,97.25,83.75
Algeria,DZA,2013,1.2631371,Very Low,0.59472704,95.3,97.25,93.35
Algeria,DZA,2014,1.4886416,Very Low,0.2760566,95.3,97.25,93.35
Algeria,DZA,2015,1.38077,Very Low,0.32369703,95.3,97.25,93.35
Algeria,DZA,2016,1.343602,Very Low,0.21071248,95.889,97.654,94.123
Algeria,DZA,2017,1.2738065,Very Low,0.23823097,95.375,97.124,93.376
Algeria,DZA,2018,1.3547354,Very Low,0.10732938,96.75,98.245,95.255
Algeria,DZA,2019,1.2153039,Very Low,0.0,96.833,98.406,95.261
Algeria,DZA,2020,1.5051206,Very Low,0.06904223,97.333,98.923,95.744
Algeria,DZA,2021,1.5731823,Very Low,0.029426435,97.0,98.749,95.251
Angola,AGO,1990,,,22.05663,60.0,68.121,51.879
Angola,AGO,1991,,,4.2195826,60.0,68.121,51.879
Angola,AGO,1992,,,18.571133,60.0,68.121,51.879
Angola,AGO,1993,,,95.08158,56.667,62.184,51.15
Angola,AGO,1994,,,29.594343,56.667,62.184,51.15
Angola,AGO,1995,,,1.68197,56.667,62.184,51.15
Angola,AGO,1996,,,0.15990709,63.333,68.675,57.992
Angola,AGO,1997,,,0.5917499,63.333,68.675,57.992
Angola,AGO,1998,,,7.600769,63.333,68.675,57.992
Angola,AGO,1999,,,16.791887,66.667,73.895,59.439
Angola,AGO,2000,,,7.3319206,73.75,81.264,66.236
Angola,AGO,2001,,,12.726083,73.75,81.264,66.236
Angola,AGO,2002,,,3.065744,73.75,81.264,66.236
Angola,AGO,2003,,,0.32552898,88.75,92.104,85.146
Angola,AGO,2004,,,0.1225286,88.75,92.104,85.146
Angola,AGO,2005,,,0.0,88.75,92.104,85.146
Angola,AGO,2006,,,0.0,88.75,92.104,85.146
Angola,AGO,2007,,,0.119561784,88.75,92.104,85.146
Angola,AGO,2008,,,0.0,88.75,92.104,85.146
Angola,AGO,2009,,,0.111073226,88.75,92.104,85.146
Angola,AGO,2010,,,0.0,90.5,94.109,86.891
Angola,AGO,2011,4.3488812,Low,0.0,90.5,94.109,86.891
Angola,AGO,2012,4.8316097,Low,0.0,90.5,94.109,86.891
Angola,AGO,2013,,,0.0,92.5,96.098,88.569
Angola,AGO,2014,,,0.0,92.5,96.098,88.569
Angola,AGO,2015,4.4582353,Low,0.0,92.5,96.098,88.569
Angola,AGO,2016,4.102248,Low,0.0788894,92.5,96.098,88.569
Angola,AGO,2017,,,0.07282686,92.5,96.358,88.642
Angola,AGO,2018,,,0.0,90.833,94.133,87.533
Angola,AGO,2019,,,0.07727117,90.833,94.133,87.533
Angola,AGO,2020,,,0.062820666,90.833,94.133,87.533
Angola,AGO,2021,,,0.0,90.833,94.133,87.533
Argentina,ARG,1990,,,0.0,97.462,98.387,96.382
Argentina,ARG,1991,,,0.0,97.462,98.387,96.382
Argentina,ARG,1992,,,0.0,97.462,98.387,96.382
Argentina,ARG,1993,,,0.0,97.462,98.387,96.382
Argentina,ARG,1994,,,0.24935706,97.462,98.387,96.382
Argentina,ARG,1995,,,0.0,97.462,98.387,96.382
Argentina,ARG,1996,,,0.0,97.462,98.387,96.382
Argentina,ARG,1997,,,0.0,97.462,98.387,96.382
Argentina,ARG,1998,,,0.0,97.462,98.387,96.382
Argentina,ARG,1999,,,0.0,97.462,98.387,96.382
Argentina,ARG,2000,,,0.0,97.462,98.387,96.382
Argentina,ARG,2001,8.348343,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2002,9.423247,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2003,7.7511554,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2004,6.046219,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2005,5.6257277,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2006,5.347438,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2007,5.364114,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2008,5.8872066,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2009,6.4938993,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2010,5.8004694,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2011,6.0475802,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2012,6.3119206,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2013,7.247288,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2014,7.53782,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2015,6.558466,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2016,6.011234,Medium,0.0,97.462,98.387,96.382
Argentina,ARG,2017,5.259381,Medium,0.0,96.909,98.06,95.758
Argentina,ARG,2018,5.367726,Medium,0.0,96.667,98.0,95.334
Argentina,ARG,2019,5.155823,Medium,0.0,97.5,99.042,95.958
Argentina,ARG,2020,5.3668137,Medium,0.0,99.167,99.933,98.401
Argentina,ARG,2021,4.6226788,Low,0.0,98.8,99.882,97.718
Armenia,ARM,1990,5.004865,Medium,0.618578,,,
Armenia,ARM,1991,5.141486,Medium,0.33170813,95.677,99.607,91.747
Armenia,ARM,1992,8.53253,Medium,3.3570585,100.0,100.0,100.0
Armenia,ARM,1993,7.7516026,Medium,1.2726532,100.0,100.0,100.0
Armenia,ARM,1994,4.653626,Low,0.88922745,100.0,100.0,100.0
Armenia,ARM,1995,3.49105,Low,0.0,100.0,100.0,100.0
Armenia,ARM,1996,3.4557,Low,0.0,100.0,100.0,100.0
Armenia,ARM,1997,3.0567784,Low,0.0,100.0,100.0,100.0
Armenia,ARM,1998,2.8698833,Low,0.0,100.0,100.0,100.0
Armenia,ARM,1999,2.8072107,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2000,2.8720002,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2001,2.8086898,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2002,2.2221954,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2003,,,0.0,100.0,100.0,100.0
Armenia,ARM,2004,2.7073355,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2005,1.903358,Very Low,0.065632865,100.0,100.0,100.0
Armenia,ARM,2006,2.6102874,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2007,2.5629137,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2008,3.2513018,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2009,3.2722774,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2010,1.9006935,Very Low,0.0,100.0,100.0,100.0
Armenia,ARM,2011,2.4240553,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2012,2.2302885,Low,0.30880845,100.0,100.0,100.0
Armenia,ARM,2013,2.1713772,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2014,2.4914103,Low,0.10380849,100.0,100.0,100.0
Armenia,ARM,2015,2.6054382,Low,0.3126522,100.0,100.0,100.0
Armenia,ARM,2016,3.0357645,Low,0.17446886,100.0,100.0,100.0
Armenia,ARM,2017,2.4544842,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2018,1.7627003,Very Low,0.0,100.0,100.0,100.0
Armenia,ARM,2019,2.5881004,Low,0.0,100.0,100.0,100.0
Armenia,ARM,2020,1.8534304,Very Low,0.42771447,97.857,99.059,96.37
Armenia,ARM,2021,2.1856172,Low,0.35829824,96.429,97.623,95.234
Australia,AUS,1990,2.1938055,Low,0.0,99.154,99.544,98.61
Australia,AUS,1991,1.9686081,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,1992,1.7236933,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,1993,1.888664,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,1994,1.7971971,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,1995,1.9774483,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,1996,1.9437898,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,1997,1.9771594,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,1998,1.795538,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,1999,2.0477753,Low,0.0,99.154,99.544,98.61
Australia,AUS,2000,1.9034636,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2001,1.8027713,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2002,1.879251,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2003,1.5330728,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2004,1.319946,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2005,1.2839751,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2006,1.3729398,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2007,1.2241472,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2008,1.2283583,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2009,1.2141697,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2010,1.049086,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2011,1.1092706,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2012,1.0691061,Very Low,0.0,99.154,99.544,98.61
Australia,AUS,2013,1.0600654,Very Low,0.0,98.727,99.236,98.219
Australia,AUS,2014,1.0353829,Very Low,0.0,98.727,99.236,98.219
Australia,AUS,2015,0.99075425,Undefined,0.0,98.727,99.236,98.219
Australia,AUS,2016,0.9381832,Undefined,0.0,98.727,99.236,98.219
Australia,AUS,2017,0.84586084,Undefined,0.0,98.727,99.236,98.219
Australia,AUS,2018,0.88473505,Undefined,0.008006653,98.727,99.236,98.219
Australia,AUS,2019,0.887323,Undefined,0.0,98.727,99.236,98.219
Australia,AUS,2020,0.86092544,Undefined,0.0,98.333,99.074,97.592
Australia,AUS,2021,0.74456745,Undefined,0.0,98.5,99.226,97.774
Austria,AUT,1990,1.1590459,Very Low,0.0,99.917,99.996,99.837
Austria,AUT,1991,1.3280661,Very Low,0.0,99.917,99.996,99.837
Austria,AUT,1992,1.2371161,Very Low,0.0,99.917,99.996,99.837
Austria,AUT,1993,1.0119822,Very Low,0.0,99.917,99.996,99.837
Austria,AUT,1994,1.1089597,Very Low,0.0,99.917,99.996,99.837
Austria,AUT,1995,0.98146594,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,1996,1.2440248,Very Low,0.0,99.917,99.996,99.837
Austria,AUT,1997,0.8284075,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,1998,0.9654129,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,1999,0.7508093,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2000,1.0236655,Very Low,0.0,99.917,99.996,99.837
Austria,AUT,2001,0.8706873,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2002,0.80455583,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2003,0.6157557,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2004,0.72204673,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2005,0.6563726,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2006,0.7378053,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2007,0.54251367,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2008,0.6970206,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2009,0.61129564,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2010,0.7294182,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2011,0.91762805,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2012,0.96089554,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2013,0.7193787,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2014,0.4914542,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2015,0.5091166,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2016,0.6180974,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2017,0.79568094,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2018,0.9727943,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2019,0.867123,Undefined,0.0,99.917,99.996,99.837
Austria,AUT,2020,0.72969943,Undefined,0.044904567,99.917,99.996,99.837
Austria,AUT,2021,0.7285295,Undefined,0.0,99.917,99.996,99.837
Azerbaijan,AZE,1990,4.4292846,Low,2.6387215,,,
Azerbaijan,AZE,1991,4.7358365,Low,3.793976,98.333,99.677,96.989
Azerbaijan,AZE,1992,7.378975,Medium,36.907932,92.667,96.875,88.458
Azerbaijan,AZE,1993,6.1756253,Medium,15.309856,83.917,85.839,82.161
Azerbaijan,AZE,1994,6.379541,Medium,18.882906,83.917,85.839,82.161
Azerbaijan,AZE,1995,5.615179,Medium,0.55771494,83.917,85.839,82.161
Azerbaijan,AZE,1996,5.0320153,Medium,0.0,83.917,85.839,82.161
Azerbaijan,AZE,1997,3.5499728,Low,0.3624969,83.917,85.839,82.161
Azerbaijan,AZE,1998,3.4821126,Low,0.42282772,83.917,85.839,82.161
Azerbaijan,AZE,1999,2.9871197,Low,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2000,2.759349,Low,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2001,2.6322072,Low,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2002,2.532212,Low,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2003,,,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2004,,,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2005,,,0.26570418,83.917,85.839,82.161
Azerbaijan,AZE,2006,,,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2007,2.1287594,Low,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2008,2.1334054,Low,0.33334455,83.917,85.839,82.161
Azerbaijan,AZE,2009,,,0.0,83.917,85.839,82.161
Azerbaijan,AZE,2010,2.2301123,Low,0.0,83.917,85.989,82.177
Azerbaijan,AZE,2011,2.2545109,Low,0.0,83.917,85.989,82.177
Azerbaijan,AZE,2012,2.129549,Low,0.16867714,83.917,85.989,82.177
Azerbaijan,AZE,2013,2.2986166,Low,0.0,81.8,83.089,80.711
Azerbaijan,AZE,2014,2.4225302,Low,0.4413933,81.8,83.089,80.711
Azerbaijan,AZE,2015,2.1392045,Low,0.6387195,81.8,83.089,80.711
Azerbaijan,AZE,2016,1.6940236,Very Low,1.3632371,81.8,83.089,80.711
Azerbaijan,AZE,2017,1.8070674,Very Low,0.3574418,83.444,85.265,81.847
Azerbaijan,AZE,2018,1.9404047,Very Low,0.0,82.0,83.331,80.891
Azerbaijan,AZE,2019,1.6417869,Very Low,0.0,81.889,83.152,80.848
Azerbaijan,AZE,2020,2.236277,Low,74.224945,91.778,93.175,90.158
Azerbaijan,AZE,2021,1.9102119,Very Low,0.29089522,93.111,94.136,91.864
Bahrain,BHR,1990,,,0.0,94.167,97.073,90.927
Bahrain,BHR,1991,,,0.0,94.167,97.073,90.927
Bahrain,BHR,1992,,,0.0,94.167,97.073,90.927
Bahrain,BHR,1993,,,0.0,94.167,97.073,90.927
Bahrain,BHR,1994,,,0.0,94.167,97.073,90.927
Bahrain,BHR,1995,0.8157485,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,1996,1.2643104,Very Low,0.0,94.167,97.073,90.927
Bahrain,BHR,1997,0.9193395,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,1998,,,0.0,94.167,97.073,90.927
Bahrain,BHR,1999,,,0.0,94.167,97.073,90.927
Bahrain,BHR,2000,,,0.0,94.167,97.073,90.927
Bahrain,BHR,2001,1.2324429,Very Low,0.0,94.167,97.073,90.927
Bahrain,BHR,2002,1.069055,Very Low,0.0,94.167,97.073,90.927
Bahrain,BHR,2003,,,0.0,94.167,97.073,90.927
Bahrain,BHR,2004,,,0.0,94.167,97.073,90.927
Bahrain,BHR,2005,,,0.0,94.167,97.073,90.927
Bahrain,BHR,2006,,,0.0,94.167,97.073,90.927
Bahrain,BHR,2007,0.38441873,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2008,0.5403733,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2009,1.1022063,Very Low,0.0,94.167,97.073,90.927
Bahrain,BHR,2010,0.1647929,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2011,0.99003613,Undefined,2.1450622,94.167,97.073,90.927
Bahrain,BHR,2012,0.7347302,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2013,0.87185824,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2014,0.6864284,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2015,0.22024135,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2016,0.28375617,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2017,0.411852,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2018,0.33617073,Undefined,0.0,94.167,97.073,90.927
Bahrain,BHR,2019,0.26770383,Undefined,0.0,91.0,95.621,86.379
Bahrain,BHR,2020,0.0,Undefined,0.0,93.833,96.824,90.842
Bahrain,BHR,2021,0.068340294,Undefined,0.0,91.8,95.201,88.399
Bangladesh,BGD,1990,,,0.08586282,99.3,99.783,98.817
Bangladesh,BGD,1991,,,0.085131444,99.3,99.783,98.817
Bangladesh,BGD,1992,,,0.17075258,99.3,99.783,98.817
Bangladesh,BGD,1993,,,0.023805585,99.3,99.783,98.817
Bangladesh,BGD,1994,,,0.01989363,99.3,99.783,98.817
Bangladesh,BGD,1995,,,0.0,99.3,99.783,98.817
Bangladesh,BGD,1996,,,0.027528245,99.3,99.783,98.817
Bangladesh,BGD,1997,,,0.0,99.3,99.783,98.817
Bangladesh,BGD,1998,,,0.0,99.3,99.783,98.817
Bangladesh,BGD,1999,,,0.0,99.3,99.783,98.817
Bangladesh,BGD,2000,2.587595,Low,0.057278495,99.3,99.783,98.817
Bangladesh,BGD,2001,2.7933366,Low,0.0455683,99.3,99.783,98.817
Bangladesh,BGD,2002,2.611454,Low,0.0,99.3,99.783,98.817
Bangladesh,BGD,2003,2.5427973,Low,0.0,99.3,99.783,98.817
Bangladesh,BGD,2004,2.8114474,Low,0.01801286,99.3,99.783,98.817
Bangladesh,BGD,2005,2.549098,Low,0.04399891,99.3,99.783,98.817
Bangladesh,BGD,2006,2.9208682,Low,0.039963868,99.3,99.783,98.817
Bangladesh,BGD,2007,2.6801088,Low,0.0006937895,99.3,99.783,98.817
Bangladesh,BGD,2008,2.8187065,Low,0.0,99.3,99.783,98.817
Bangladesh,BGD,2009,2.8758037,Low,0.0,99.3,99.783,98.817
Bangladesh,BGD,2010,2.687492,Low,0.0,99.7,99.905,99.495
Bangladesh,BGD,2011,2.640286,Low,0.0,99.7,99.905,99.495
Bangladesh,BGD,2012,2.7049658,Low,0.0,99.7,99.905,99.495
Bangladesh,BGD,2013,2.8520393,Low,0.019476708,98.625,99.8,97.45
Bangladesh,BGD,2014,2.8943079,Low,0.0,98.625,99.8,97.45
Bangladesh,BGD,2015,2.556548,Low,0.0031679654,98.625,99.8,97.45
Bangladesh,BGD,2016,2.247401,Low,0.045686513,98.625,99.8,97.45
Bangladesh,BGD,2017,2.1935306,Low,0.02966736,98.571,99.872,97.27
Bangladesh,BGD,2018,2.339875,Low,0.0,98.571,99.872,97.27
Bangladesh,BGD,2019,,,0.0,98.571,99.872,97.27
Bangladesh,BGD,2020,,,0.0017918905,98.571,99.872,97.27
Bangladesh,BGD,2021,,,0.0,98.571,99.872,97.27
Barbados,BRB,1990,13.134107,High,0.0,99.667,99.889,99.444
Barbados,BRB,1991,8.095543,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,1992,8.454628,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,1993,8.046116,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,1994,7.6420026,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,1995,6.481042,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,1996,,,0.0,99.667,99.889,99.444
Barbados,BRB,1997,,,0.0,99.667,99.889,99.444
Barbados,BRB,1998,7.586059,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,1999,8.706532,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2000,7.556951,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2001,9.420578,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2002,9.382447,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2003,12.336494,High,0.0,99.667,99.889,99.444
Barbados,BRB,2004,8.193516,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2005,10.761586,High,0.0,99.667,99.889,99.444
Barbados,BRB,2006,12.942567,High,0.0,99.667,99.889,99.444
Barbados,BRB,2007,9.210003,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2008,8.4361725,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2009,6.939587,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2010,11.284586,High,0.0,99.667,99.889,99.444
Barbados,BRB,2011,9.800843,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2012,7.965315,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2013,8.668485,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2014,9.009236,Medium,0.0,99.667,99.889,99.444
Barbados,BRB,2015,11.147751,High,0.0,99.667,99.889,99.444
Barbados,BRB,2016,7.8952374,Medium,0.0,99.667,99.889,99.444
